Filename,Project,UserID,Protocol,Session,Station,Run,Subject,Trial,Time Start,Time Finish,Duration,Enter State,A1,A2,A3,,Subject,Time,Current State,Transition State,Transition Event,A1 - ,A2 - ,A3 - ,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,3,2415,2467,52,2,0,3,0,,LF270_,4961,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,3,2467,2474,7,3,0,0,0,,LF270_,4964,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,3,2474,2477,3,5,0,0,0,,LF270_,4974,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,3,2477,2482,5,4,0,0,0,,LF270_,4975,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,3,2482,2528,46,8,1,0,43,,LF270_,5182,2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,4,2528,4330,1802,2,0,1,0,,LF270_,5184,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,4,4330,4337,7,3,0,0,0,,LF270_,5985,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,4,4337,4340,3,5,0,0,0,,LF270_,5986,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,4,4340,4345,5,4,0,0,0,,LF270_,6237,2,3,2,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,4,4345,4541,196,8,0,0,7,,LF270_,6238,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4541,4798,257,2,0,2,0,,LF270_,6242,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4798,4805,7,3,0,0,0,,LF270_,6243,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4805,4808,3,5,0,0,0,,LF270_,6244,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4808,4813,5,4,0,0,0,,LF270_,6247,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4813,4814,1,8,0,1,0,,LF270_,6252,4,8,0,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4814,4821,7,3,0,0,0,,LF270_,6255,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4821,4824,3,5,0,0,0,,LF270_,6256,8,3,2,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4824,4829,5,4,0,0,0,,LF270_,6258,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4829,4878,49,8,0,1,0,,LF270_,6260,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4878,4885,7,3,0,0,0,,LF270_,6261,3,0,0,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4885,4888,3,5,0,0,0,,LF270_,6263,3,5,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4888,4893,5,4,0,0,0,,LF270_,6264,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4893,4924,31,8,0,1,0,,LF270_,6265,5,0,0,0,1,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4924,4931,7,3,0,0,0,,LF270_,6266,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,
1,P,GG_CM,5,42,2,4,LF271_,5,4931,4934,3,5,0,0,0,,LF270_,6271,4,8,0,0,0,0,,,,,,,,,,,,,,,,,,
